,number_of_reviews,user_ratings,Star_Rating,Family_rooms,Non_Smoking_Rooms,bar,Heating,Lifts,Single_Bed,price,Breakfast Cuisine1,review_score_numeric,Birmingham,Dubai,Kuala Lumpur,London,Manchester,Melbourne,New Delhi,Paris,Sydney,Tokyo,Toronto
1126,8.41715183723601,8.5,3,1,1,1,1,1,1,9.444621667700849,1,7,0,0,0,0,0,0,0,0,0,0,0
1127,7.274479558773871,7.9,4,0,1,1,1,1,1,8.9614943233096,1,6,0,0,0,0,0,0,0,0,0,0,0
1128,6.76849321164863,4.7,4,1,1,1,1,0,1,8.799360083179907,0,3,0,0,0,0,0,0,0,0,0,0,0
1129,8.392536586816682,7.8,3,0,1,0,1,1,1,9.173157580848466,1,6,0,0,0,0,0,0,0,0,0,0,0
1130,6.9985096422506015,7.7,3,0,1,1,1,1,1,9.235423152343646,1,6,0,0,0,0,0,0,0,0,0,0,0
1131,7.700295203420117,7.7,3,0,1,1,1,0,1,8.726318950962243,1,6,0,0,0,0,0,0,0,0,0,0,0
1132,5.786897381366708,8.8,3,1,1,1,1,1,1,10.023046787593767,1,8,0,0,0,0,0,0,0,0,0,0,0
1133,5.823045895483019,6.8,3,0,1,0,1,1,1,9.172223049863055,1,5,0,0,0,0,0,0,0,0,0,0,0
1134,7.8009820712577405,8.5,3,1,1,1,1,1,1,9.376024287617113,1,7,0,0,0,0,0,0,0,0,0,0,0
1135,8.55564437779049,7.6,3,1,1,1,1,1,1,8.851377097519439,1,6,0,0,0,0,0,0,0,0,0,0,0
1136,7.44600149832412,8.1,3,1,1,1,1,1,1,9.40029935589935,1,7,0,0,0,0,0,0,0,0,0,0,0
1137,2.995732273553991,8.3,3,0,1,1,1,1,1,9.226705726062447,1,7,0,0,0,0,0,0,0,0,0,0,0
1138,6.848005274576363,5.2,3,0,1,0,1,0,1,8.87626525995469,0,4,0,0,0,0,0,0,0,0,0,0,0
1139,8.00202481821611,8.1,3,0,1,1,1,1,1,8.971575439759016,1,7,0,0,0,0,0,0,0,0,0,0,0
1140,7.59488438721652,8.2,3,1,1,1,1,1,1,9.221478116386638,1,7,0,0,0,0,0,0,0,0,0,0,0
1141,8.121480374750751,8.6,3,0,1,1,1,1,1,9.550662331752143,1,8,0,0,0,0,0,0,0,0,0,0,0
1142,7.607381425639791,8.5,3,1,1,1,1,1,1,9.550662331752143,1,7,0,0,0,0,0,0,0,0,0,0,0
1143,7.402451520818244,7.7,4,1,1,1,1,0,1,8.745921121024347,0,6,0,0,0,0,0,0,0,0,0,0,0
1144,7.351799869057777,6.2,4,1,1,0,1,1,1,8.734721003944811,0,5,0,0,0,0,0,0,0,0,0,0,0
1145,7.349230824613334,8.4,3,1,1,0,1,1,1,9.349319399257634,0,7,0,0,0,0,0,0,0,0,0,0,0
1146,7.894318063841624,8.0,3,0,1,1,1,1,1,9.357034751126987,1,7,0,0,0,0,0,0,0,0,0,0,0
1147,6.102558594613569,7.0,3,1,1,0,1,0,1,9.034199674257309,0,6,0,0,0,0,0,0,0,0,0,0,0
1148,7.20934025660291,8.4,3,1,1,0,1,1,0,9.420925394042996,0,7,0,0,0,0,0,0,0,0,0,0,0
1149,5.736572297479192,8.4,4,0,1,1,1,1,0,10.392558244499089,1,7,0,0,0,0,0,0,0,0,0,0,0
1150,8.329416783939319,7.7,3,1,1,1,1,1,1,8.682877107057168,1,6,1,0,0,0,0,0,0,0,0,0,0
1151,0.0,0.0,3,1,0,0,1,1,1,9.266626182986775,0,6,1,0,0,0,0,0,0,0,0,0,0
1152,8.955706153570603,8.4,4,1,1,1,1,1,1,8.834336974017637,1,7,1,0,0,0,0,0,0,0,0,0,0
1153,7.947678571301568,6.9,2,0,1,1,1,1,1,8.371473537066832,1,5,1,0,0,0,0,0,0,0,0,0,0
1154,9.22631214148588,6.7,3,0,1,0,1,1,1,8.284756593190435,1,5,1,0,0,0,0,0,0,0,0,0,0
1155,9.031692060548524,7.8,3,1,1,1,1,1,1,8.783855896643942,1,6,1,0,0,0,0,0,0,0,0,0,0
1156,7.925157512224703,7.6,3,1,1,1,1,1,1,8.627302414096267,1,6,1,0,0,0,0,0,0,0,0,0,0
1157,0.0,0.0,3,1,1,0,1,0,0,9.006754319877503,0,6,1,0,0,0,0,0,0,0,0,0,0
1158,7.422971251049421,7.6,3,1,1,1,1,0,1,8.793612071589308,1,6,1,0,0,0,0,0,0,0,0,0,0
1159,5.303304908059076,8.2,4,0,1,0,1,0,0,8.765458531504226,1,7,1,0,0,0,0,0,0,0,0,0,0
1160,8.420021279663963,8.2,3,0,1,0,1,1,0,8.699848026000312,0,7,1,0,0,0,0,0,0,0,0,0,0
1161,8.498010371999463,7.6,4,1,1,1,1,1,1,8.708144074908246,1,6,1,0,0,0,0,0,0,0,0,0,0
1162,5.579729825986222,7.4,4,0,1,1,1,1,0,8.870803443982124,1,6,1,0,0,0,0,0,0,0,0,0,0
1163,8.21878715560148,8.7,4,1,1,0,1,1,1,9.004299728561636,1,8,1,0,0,0,0,0,0,0,0,0,0
1164,8.730690365678642,7.8,4,0,1,1,1,1,1,8.9595686535445,1,6,1,0,0,0,0,0,0,0,0,0,0
1165,5.4116460518550396,8.2,4,0,1,1,1,0,1,8.66544076787644,0,7,1,0,0,0,0,0,0,0,0,0,0
