sno,Hotel_Name,wifi_box,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
129,MIMARU Tokyo KINSHICHO,yes,yes,yes,no,no,yes,yes,no,no,no
130,Hotel GrandBach Tokyo Ginza,yes,yes,yes,yes,yes,yes,yes,American,no,no
131,MONday Apart Premium UENO OKACHIMACHI,yes,yes,yes,no,no,yes,yes,no,no,no
132,Minn Akihabara,yes,yes,yes,no,no,yes,yes,no,no,no
133,MONday Apart Akihabara Southeast,yes,yes,yes,no,no,yes,yes,no,no,no
134,Minn Kasai,yes,yes,yes,no,no,yes,yes,no,no,no
135,MONday Apart Premium 銀座新富町,yes,yes,yes,no,no,yes,yes,no,no,no
136,MONday Apart Premium UENO,yes,yes,yes,no,no,yes,yes,Vegetarian, Vegan, Halal
137,MUSTARD HOTEL SHIMOKITAZAWA,yes,no,yes,no,yes,yes,yes,no,no,no
138,MONday Apart Premium AKIHABARA,yes,no,yes,no,no,yes,yes,no,no,no
139,MONday Apart Premium AKIHABARA ASAKUSABASHI Sta.,yes,yes,yes,no,no,yes,yes,no,no,no
140,Pangoo品川,yes,no,yes,no,no,yes,yes,no,no,no
141,MONday Apart 日本橋水天宮前,yes,no,yes,no,no,yes,yes,no,no,no
142,Minn Nishi-Kasai,yes,no,yes,no,no,yes,yes,no,no,no
143,MONday Apart Premium 日本橋,yes,no,yes,no,no,yes,yes,no,no,no
144,MONday Apart Hamamatsucho Daimon,yes,no,yes,no,no,yes,yes,no,no,no
145,MONday Apart Ueno Shinokachimachi,yes,yes,yes,no,no,yes,yes,no,no,no
146,HOTEL VARKIN ANNEX,yes,no,yes,no,no,yes,yes,no,no,no
147,Hotel K5,yes,no,yes,no,yes,yes,yes,no,no,no
148,PROSTYLE RYOKAN TOKYO ASAKUSA,yes,no,yes,yes,yes,yes,yes,Continental, American,no
149,hotel MONday Premium Ueno Okachimachi,yes,no,yes,no,no,yes,yes,Buffet,no,no
150,hotel MONday Akihabara Asakusabashi,yes,no,yes,no,no,yes,yes,Continental,no,no
151,Henn na Hotel Tokyo Asakusa Tawaramachi,yes,yes,yes,yes,yes,yes,yes,Buffet,no,no
152,La'gent Hotel Shinjuku Kabukicho,yes,no,yes,no,yes,yes,yes,Asian, American,no
153,hotel MONday Tokyo Nishikasai,yes,no,yes,no,no,yes,yes,Buffet,no,no
154,Hotel Resol Akihabara,yes,no,yes,no,no,yes,yes,Italian,no,no
155,Hotel Gracery Asakusa,yes,no,yes,no,no,yes,yes,Buffet,no,no
156,Hotel Musse Ginza Meitetsu,yes,yes,yes,no,no,yes,yes,no,no,no
