sno,Hotel_Name,city,location,number_of_reviews,user_ratings,Star_Rating,review_score
92,Theater Zzz,Tokyo,"130-0011 Tokyo-to, Sumida-ku Ishiwara 1-18-7 Central Mansion 1F, Japan",243,7.8,3,Good
93,Henn na Hotel Tokyo Asakusabashi,Tokyo,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-10-5, Japan",2597,7.9,3,Good
94,APA Hotel Nihombashi Bakuroyokoyama Ekimae,Tokyo,"103-0003 Tokyo-to, Chuo-ku Nihonbashiyokoyamacho 5-6, Japan",731,8.3,4,Very good
95,Tosei Hotel Cocone Tsukiji Ginza Premier,Tokyo,"104-0045 Tokyo-to, Chuo-ku Tsukiji 6-23-8, Japan",43,8.5,3,Very good
96,Hotel Cerezo,Tokyo,"110-0003 Tokyo-to, Taito-ku Negishi 2-6-1, Japan",238,7.3,3,Good
97,APA Hotel Akihabara Ekikita,Tokyo,"110-0016 Tokyo-to, Taito-ku Taito 1-29-2, Japan",1860,8.0,3,Very good
98,remm Akihabara,Tokyo,"101-0025 Tokyo-to, Chiyoda-ku Kanda Sakumacho  1-6-5 , Japan",1573,8.3,3,Very good
99,The Kanzashi Tokyo Asakusa,Tokyo,"111-0032 Tokyo-to, Taito-ku Asakusa 2-27-10, Japan",1435,8.6,3,Fabulous
100,APA Hotel TKP Tokyo Nishi-Kasai,Tokyo,"134-0088 Tokyo-to, Edogawa-ku Nishi-Kasai 6-15‐24, Japan",1174,7.8,3,Good
101,HOTEL MYSTAYS Kiyosumi Shirakawa,Tokyo,"135-0006 Tokyo-to, Koto-ku Tokiwa  1-12-16 , Japan",738,8.3,4,Very good
102,Shinagawa Prince Hotel N Tower,Tokyo,"108-8611 Tokyo-to, Minatoku Takanawa 4-10-30, Japan",306,7.9,4,Good
103,Vessel Inn Asakusa Tsukuba Express,Tokyo,"111-0031 Tokyo-to, Taito-ku, Senzoku 1-15-1, Japan",124,8.4,5,Very good
104,Hilton Tokyo Odaiba,Tokyo,"135-8625 Tokyo-to, Minato-ku Daiba  1-9-1 , Japan",729,8.3,3,Very good
105,Artsy Inn 東上野,Tokyo,"110-0015 Tokyo-to, 東上野六丁目 7番10号Artsy　Inn, Japan",792,7.8,4,Good
106,Grand Prince Hotel Shin Takanawa,Tokyo,"108-8612 Tokyo-to, Minato-ku, Takanawa 3-13-1, Japan",1712,8.2,3,Very good
107,KOKO HOTEL Tsukiji Ginza,Tokyo,"104-0045 Tokyo-to, 6-8-8 Tsukiji, Chuo-ku, Japan",3082,8.3,3,Very good
108,APA Hotel Ueno Ekikita,Tokyo,"110-0005 Tokyo-to, Taito-ku, Ueno 7-12-11, Japan",2224,7.7,3,Good
109,APA Hotel Omori Ekimae,Tokyo,"143-0016 Tokyo-to, Ota-ku Omorikita 1-1-4, Japan",717,8.3,3,Very good
110,APA Hotel Kanda Jimbocho Ekihigashi,Tokyo,"101-0052 Tokyo-to, Chiyoda-ku Kanda Ogawamachi 3-1-22, Japan",1064,8.0,1,Very good
111,K's House Tokyo Oasis - Asakusa Downtown,Tokyo,"111-0032 Tokyo-to, Taito-ku, Asakusa 2-14-10, Japan",321,8.7,3,Fabulous
112,APA Hotel Nihombashi Hamacho-eki Minami,Tokyo,"103-0007 Tokyo-to, Chuo-ku Nihombashi Hamacho 3-43-8, Japan",609,7.6,3,Good
113,APA Hotel Ginza Shintomicho Ekimae Kita - Former APA Hotel Shintomicho Ekikita,Tokyo,"104-0041 Tokyo-to, Chuo-ku Shintomi 1-12-11, Japan",747,8.1,3,Very good
114,Ginza Capital Hotel Akane,Tokyo,"104-0045 Tokyo-to, Chuo-ku Tsukiji 3-1-5 , Japan",984,7.6,3,Good
115,HOTEL VARKIN Ikebukuro Nishiguchi,Tokyo,"171-0014 Tokyo-to, 2-16-19 Ikebukuro, Toshima-ku, Japan",714,8.5,3,Very good
116,APA Hotel Asakusa Kuramae,Tokyo,"111-0043 Tokyo-to, Taito-ku, Komagata 2-4-6, Japan",1464,7.7,3,Good
117,HOTEL TAVINOS HAMAMATSUCHO,Tokyo,"105-0022 Tokyo-to,  Minato-ku Kaigan 1-13-3, Japan",755,7.9,3,Good
118,APA Hotel Higashi-Nihombashi-Ekimae,Tokyo,"103-0004 Tokyo-to, Chuo-ku Higashinihombashi 3-12-14, Japan",1146,7.9,3,Good
119,APA Hotel Mita-Ekimae,Tokyo,"105-0014 Tokyo-to, Minato-ku Shiba 4-4-8, Japan",1201,7.5,3,Good
120,Sotetsu Fresa Inn Tokyo-Kyobashi,Tokyo,"104-0031 Tokyo-to, Chuo-ku Kyobashi 2-11-1, Japan",2245,7.8,3,Good
121,HOTEL TABARD TOKYO,Tokyo,"130-0022 Tokyo-to, Sumida-ku, Kotobashi 4-14-5, Japan",474,8.2,2,Very good
122,&AND HOSTEL AKIHABARA,Tokyo,"101-0025 Tokyo-to, Chiyoda-ku Kanda Sakumacho 3-9-1, Japan",743,7.4,3,Good
123,APA Hotel Roppongi SIX,Tokyo,"106-0032 Tokyo-to, Minato-ku, Roppongi 2-3-11, Japan",5813,7.8,4,Good
124,Hotel Mystays Premier Akasaka,Tokyo,"107-0052 Tokyo-to, Minato-ku, Akasaka 2-17-54, Japan",2122,8.3,3,Very good
125,DDD HOTEL,Tokyo,"103-0002 Tokyo-to, Chuo-ku Nihonbashi Bakuracho 2-2-1, Japan",3084,8.4,3,Very good
