sno,Hotel_Name,Room_type,Single_Bed,Double_bed,price
158,Henn na Hotel Tokyo Ginza,Standard Double Room,single bed,double bed,13064
159,Keio Plaza Hotel Tokyo Premier Grand,"Club Floor ""Premier Grand"" Deluxe Twin Room with Club Lounge Access - Non-Smoking",single bed,double bed,53121
160,Candeo Hotels Tokyo Roppongi,Executive Queen Room,single bed,double bed,26463
161,Grand Prince Hotel Takanawa Hanakohro,Japanese Style Suite with Tatami Floor,single bed,,56935
162,Hotel New Otani Tokyo Garden Tower,Standard Double or Twin Room,single bed,double bed,27907
163,Daiwa Roynet Hotel Tokyo Akabane,Double Room - Smoking,single bed,double bed,8709
164,Hotel Lumiere Nishikasai,Double Room with Small Double Bed - Smoking,single bed,,6030
165,Hotel Chinzanso Tokyo,Superior King Room with City View,single bed,double bed,45156
166,"Mandarin Oriental, Tokyo",Deluxe Twin Room,single bed,double bed,94909
167,Royal Park Hotel,Standard Double Room,single bed,double bed,25861
168,Akihabara Washington Hotel,Economy Double Room - Smoking,single bed,double bed,10663
169,Hotel Gracery Ginza,Standard Double Room with Small Double Bed - Non-Smoking,single bed,double bed,16916
170,Hotel Gracery Shinjuku,Double Room - Non-Smoking,single bed,double bed,17124
171,Hotel East 21 Tokyo,Standard Twin Room - Non-Smoking (2 Adult),single bed,double bed,8151
172,Keisei Richmond Hotel Tokyo Kinshicho,Standard Double Room - Non Smoking,single bed,double bed,5603
173,Sakura Cross Hotel Ueno Iriya Annex,Superior Triple Room Max5 Comfort3,,double bed,8257
174,Hotel Oriental Express Tokyo Kamata,Standard Twin Room - Non-Smoking,single bed,double bed,6720
175,OTHER SPACE Hotelー HOTEL K3 asakusaー,Superior Double Room,,double bed,5775
176,Shiinamachi house,One-Bedroom Apartment,,double bed,3412
177,Sakura Hotel Nippori,Japanese-Style Twin Room with Shared Bathroom,single bed,double bed,4887
178,Palo Nagasaki,One-Bedroom Apartment,,double bed,2768
179,ホテルロイヤルオーク五反田,Double Room,single bed,double bed,5583
180,APA Hotel Kanda-Eki Higashi,Double Room - Non-Smoking,single bed,double bed,5829
181,Villa Fontaine Grand Tokyo Ariake,Double Room - Non-Smoking,single bed,double bed,7503
182,Imano Tokyo Ginza Hostel,Japanese Style - Double or Twin Room,single bed,,8433
183,HOTEL KABUKI,Standard Queen Room,,double bed,17486
184,nine hours Ningyocho,Special Offer - 2 Capsule Rooms for Female - Non-Smoking,single bed,,6532
185,Anshin Oyado Shinbashi Shiodome-Male only,Bed in Male Dormitory Room,single bed,,7258
186,Tokyo Bay Ariake Washington Hotel,Casual Twin Room - Non-Smoking,single bed,double bed,7403
187,Hotel Villa Fontaine Tokyo-Hamamatsucho,Double Room - Non-Smoking,single bed,double bed,6197
188,Dormy Inn Akihabara,Moderate Double Room with Small Double Bed - Non-Smoking,single bed,double bed,14571
189,APA Hotel Asakusa Tawaramachi Ekimae,Double Room - Smoking,single bed,double bed,6381
190,The Royal Park Hotel Tokyo Haneda Airport Terminal 3,Double Room,single bed,double bed,16637
191,Hotel Famy Inn Kinshicho,Double Room with Small Double Bed - Smoking,single bed,double bed,4746
192,APA Hotel Asakusa Ekimae,Standard Double Room - Non-Smoking,single bed,double bed,5695
193,Toyoko Inn Tokyo Shinagawa Konan-guchi Tennozu Isle,Economy Double Room - Non-Smoking,single bed,double bed,6155
194,レジデンシャルステージ東新宿,Two-Bedroom Apartment,,double bed,7258
195,Toyoko Inn Tokyo Keihin Tohoku sen Oji eki Kita guchi,Economy Double Room - Smoking,single bed,double bed,5686
196,APA Hotel - Higashishinjuku Kabukicho Higashi,Double Room - Non-Smoking,single bed,double bed,11389
197,Sotetsu Fresa Inn Ochanomizu Jimbocho,Double Room - Smoking,single bed,double bed,8933
198,Candeo Hotels Ueno Park,Room Selected at Check-In - Non-Smoking,single bed,double bed,8374
199,Sotetsu Fresa Inn Tokyo Kinshicho,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,5406
200,the b suidobashi,Small Double Room,single bed,double bed,7704
201,JR-East Hotel Mets Koenji,Single Room (2 Adults) - Non-Smoking,single bed,double bed,7813
202,GLOU Higashi Shinjuku,Small Double Room,,double bed,8438
203,Hotel Monte Hermana Tokyo,Standard Twin Room,single bed,double bed,17084
204,Hotel Wing International Tokyo Akabane,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,4567
205,Hotel Amanek Asakusa Ekimae,Standard Double Room,single bed,double bed,7344
206,Domo Hotel,Standard Twin Room,single bed,,10077
207,Dormy Inn Korakuen,Double Room with Small Double Bed,single bed,double bed,13195
208,Rihga Royal Hotel Tokyo,Luxury Twin Room with Late Check-in 18:00 and Early Check-out 10:00 - Non-Smoking,single bed,double bed,8933
209,APA Hotel Kanda Ekimae,Double Room - Non-Smoking,single bed,double bed,7738
210,APA Hotel Asakusa Kaminarimon,Double Room - Non-Smoking,single bed,double bed,6476
211,COGO Ryogoku,Economy Quadruple Room,single bed,,7073
212,APA Hotel Ginza Kyobashi Tokyo-Eki Yaesu Minami-guchi,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,9212
213,Sotetsu Fresa Inn Kanda-Otemachi,Small Double Room - Non-Smoking,single bed,,8821
214,Onyado Nono Asakusa Natural Hot Spring,Standard Double Room,single bed,double bed,17202
215,Oak Hotel Edo,Double Room with Balcony,single bed,double bed,6141
216,Shinagawa Prince Hotel,Main Tower 6th-16th Floor Twin Room - Non-Smoking,single bed,double bed,16816
217,Miyako Shinjuku Hotel 都-新宿-,Twin Room,,double bed,5128
218,&AND HOSTEL MINAMISENJU,Economy Double Room,,double bed,4368
219,Fujiterrace Yoga,One-Bedroom Apartment,,double bed,4150
220,Asakusa Hotel Hatago,Economy Double Room With Small Double Bed - Non Smoking,single bed,double bed,6364
221,APA Hotel Asakusa Kaminarimon Minami,Standard Double Room,single bed,double bed,6476
222,Lucky Hostel,Economy Triple Room,single bed,double bed,3685
223,the b shimbashi toranomon,Standard Double Room - Non-Smoking,single bed,double bed,11361
224,Premier Hotel Cabin Shinjuku,Renovated Double Room with Small Double Bed - Non-Smoking,single bed,double bed,8622
225,Ginza Capital Hotel Moegi,Standard Twin Room - Non Smoking,single bed,double bed,10741
226,Andon Ryokan,Japanese-Style Double Room with Shared Bathroom,single bed,,6215
227,JR-East Hotel Mets Koenji,Single Room (2 Adults) - Non-Smoking,single bed,double bed,7813
228,GLOU Higashi Shinjuku,Small Double Room,,double bed,8438
229,Hotel Monte Hermana Tokyo,Standard Twin Room,single bed,double bed,17084
230,Hotel Wing International Tokyo Akabane,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,4567
