Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Forest House Hotel,yes,"70 Green Lanes Palmers Green, London, N13 6BE, United Kingdom",931 reviews,8.2,4 out of 5,Very good,no,yes,no,NA,yes,no,NA,single bed,double bed,Double Room with Private Bathroom,"₹ 9,867"
Cosy room in Fulham,yes,"Dawes Road 2D, Hammersmith and Fulham, London, SW6 7QP, United Kingdom",NA,NA,3 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 8,697"
Marlin Apartments London Bridge - Empire Square,yes,"34 Long Lane, Southwark, London, SE1 4NH, United Kingdom","1,331 reviews",7.5,5 out of 5,Good,yes,no,no,NA,yes,yes,NA,NA,double bed,Studio Apartment,"₹ 18,818"
London Bridge Hotel,yes,"8-18 London Bridge St, Southwark, London, SE1 9SG, United Kingdom","2,047 reviews",8.6,5 out of 5,Fabulous,no,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,Standard Double Room,"₹ 20,750"
Twenty Nevern Square Hotel,yes,"20 Nevern Square, Kensington and Chelsea, London, SW5 9PD, United Kingdom","1,973 reviews",7.9,3 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Small Double Room,"₹ 16,885"
The Ned,yes,"Poultry 27, City of London, London, EC2R 8AJ, United Kingdom",828 reviews,8.7,3 out of 5,Fabulous,yes,yes,yes,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, American",NA,double bed,Double Room - Cosy,"₹ 48,113"
"Great Northern Hotel, A Tribute Portfolio Hotel, London",yes,"King's Cross St Pancras International Station, Pancras Road, Camden, London, N1C 4TB, United Kingdom",558 reviews,8.2,3 out of 5,Very good,no,yes,yes,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free",NA,double bed,"Heritage, Larger Guest room, 1 Queen, City view","₹ 37,636"
The Green W7,yes,"13 lower Boston Road Hanwell, London, W7 3TX, United Kingdom",639 reviews,8.5,3 out of 5,Very good,no,yes,no,Bar,no,no,NA,single bed,double bed,Triple Room with Shared Bathroom,"₹ 10,070"
Amber Residence Aparthotel,yes,"42-44 Gloucester Place, Westminster Borough, London, W1U 8HF, United Kingdom",378 reviews,7.2,4 out of 5,Good,no,yes,no,NA,yes,no,NA,single bed,double bed,Deluxe Double Room with Shower,"₹ 20,140"
One Bedroom Apartment with Garden,yes,"8 Hartham Road, London, N17 6RZ, United Kingdom",NA,NA,2 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 13,732"
Snuggle Inn - Riverside apartment- Fully serviced accommodation,yes,"Mast Quay, Greenwich, London, United Kingdom",2 reviews,10,4 out of 5,Exceptional,yes,yes,no,NA,yes,yes,NA,NA,double bed,Apartment with Terrace,"₹ 23,084"
Abbey Point Hotel,yes,"300-302 Twyford Abbey Road, Brent, London, NW10 7DD, United Kingdom","1,100 reviews",8.5,3 out of 5,Very good,no,yes,no,Bar,yes,no,"Full English/Irish, Vegetarian, Halal",single bed,double bed,King Room,"₹ 11,443"
Leyton Comfy Double rooms - 50,yes,"50 Frith Road, London, E11 4EY, United Kingdom",NA,NA,4 out of 5,NA,no,yes,no,NA,yes,no,NA,NA,double bed,Double Room with Shared Bathroom,"₹ 6,408"
Cozy flat London,yes,"72 Parkway, Camden, London, NW1 7AH, United Kingdom",211 reviews,5.8,4 out of 5,Passable,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 8,148"
Royal London Hotel By Saba,yes,"43 Shepherds Bush Road, Hammersmith and Fulham, London, W6 7LU, United Kingdom","1,165 reviews",6.6,4 out of 5,Pleasant,yes,yes,no,NA,yes,no,"Continental, Vegetarian, Halal, Gluten-free, Buffet",single bed,double bed,Twin Room with Private Bathroom,"₹ 7,827"
Camden Enterprise Hotel,yes,"2 Haverstock Hill, Camden, London, NW3 2BL, United Kingdom","2,603 reviews",8.6,4 out of 5,Fabulous,no,yes,no,Bar,yes,yes,"Full English/Irish, Vegetarian, Vegan, Gluten-free",single bed,double bed,Ferdinand Street Deluxe Double,"₹ 15,654"
Luna And Simone Hotel,yes,"47/49 Belgrave Rd, Victoria, Westminster Borough, London, SW1V 2BB, United Kingdom","2,933 reviews",8.7,3 out of 5,Fabulous,yes,yes,no,NA,yes,no,NA,single bed,double bed,Twin Room,"₹ 22,276"
Victoria Studios,yes,"387 Edgware Road, Brent, London, NW2 6LH, United Kingdom",564 reviews,8.0,3 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio with Sofa Bed,"₹ 10,894"
M-Hotels Apartments,yes,"25 The Ridgeway, London, NW11 8TD, United Kingdom",513 reviews,8.1,2 out of 5,Very good,yes,no,no,NA,yes,no,NA,single bed,double bed,Deluxe Studio,"₹ 15,166"
The Fox & Goose Hotel,yes,"Hanger Lane, London, W5 1DP, United Kingdom","4,687 reviews",9.1,4 out of 5,Superb,no,yes,yes,Bar,yes,yes,Full English/Irish,single bed,double bed,Double Room,"₹ 13,640"
Cozzy,yes,"9 Taunton Road, Lewisham, London, SE12 8PQ, United Kingdom",166 reviews,7.6,3 out of 5,Good,yes,yes,no,NA,yes,no,NA,NA,double bed,Standard Double Room,"₹ 10,711"
The Long Room Hotel and Bar,yes,"130 Mitcham Road the Long Room, Wandsworth, London, SW17 9NH, United Kingdom",655 reviews,6.1,5 out of 5,Pleasant,no,yes,no,Bar,yes,no,NA,single bed,double bed,Double Room with Private Bathroom,"₹ 8,036"
The Pig and Whistle,no,"86 Sheen Lane, London, SW14 8LP, United Kingdom",169 reviews,8.9,5 out of 5,Fabulous,yes,yes,no,NA,yes,no,NA,NA,double bed,Deluxe Double Room,"₹ 13,223"
London Marriott Hotel Kensington,yes,"147c Cromwell Road, Kensington and Chelsea, London, SW5 0TH, United Kingdom",686 reviews,8.1,4 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, American",NA,double bed,Deluxe Queen Room,"₹ 30,439"
Dog and Fox,yes,"24 Wimbledon High Street, London, SW19 5EA, United Kingdom",344 reviews,8.5,5 out of 5,Very good,no,yes,no,Bar,yes,no,Full English/Irish,single bed,double bed,Double Room,"₹ 12,104"
Millennium & Copthorne Hotels at Chelsea Football Club,yes,"Fulham Road, Stamford Bridge, Hammersmith and Fulham, London, SW6 1HS, United Kingdom","4,674 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free",single bed,double bed,Standard Double Room,"₹ 17,302"
Small Double Studio close to King's Cross & Camden,yes,"Blundell Street, Islington, London, N7 9BL, United Kingdom",2 reviews,6.0,5 out of 5,Pleasant,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 14,240"
Cozy Two-Bed Apartment-Wandsworth,no,"10 Red Lion Square, Wandsworth, London, SW18 4RD, United Kingdom",NA,10,4 out of 5,Host review score,no,no,no,NA,yes,no,NA,single bed,double bed,Two-Bedroom Apartment,"₹ 27,972"
Canary Wharf - One bedroom house,yes,"13 Joshua Street, London, E14 0RD, United Kingdom",NA,NA,3 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 30,439"
The Gyle,yes,"16-18 Argyle Square, Camden, London, WC1H 8AS, United Kingdom","1,958 reviews",8.3,3 out of 5,Very good,no,yes,no,Bar,yes,no,"Continental, Italian",single bed,double bed,Feature Twin,"₹ 28,990"
The Marylebone Hotel,yes,"47 Welbeck Street, Westminster Borough, London, W1G 8DN, United Kingdom",817 reviews,8.3,2 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free",single bed,double bed,Queen Room,"₹ 42,213"
Maida Vale Studios,yes,"121 Shirland Road, Westminster Borough, London, W9 2EW, United Kingdom",85 reviews,7.1,3 out of 5,Good,no,yes,no,NA,yes,no,NA,single bed,double bed,Studio Apartment,"₹ 14,281"
Hyde Park Executive Apartments,yes,"8-18 Inverness Terrace, Westminster Borough, London, W2 3HU, United Kingdom","2,308 reviews",6.4,2 out of 5,Pleasant,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Studio,"₹ 20,118"
Lancaster Gate Hotel,yes,"66-71, Lancaster Gate, Westminster Borough, London, W2 3NA, United Kingdom","13,036 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish",single bed,double bed,Double Room,"₹ 15,304"
Arch Hotel,yes,"Pemberton Gardens, Islington, London, N19 5RR, United Kingdom","2,223 reviews",7.0,4 out of 5,Good,yes,yes,no,NA,yes,no,NA,NA,double bed,Executive Studio,"₹ 14,556"
Novotel London Paddington,yes,"3 Kingdom Street, Sheldon Square, Westminster Borough, London, W2 6BD, United Kingdom","2,646 reviews",8.0,4 out of 5,Very good,yes,yes,no,Bar,no,yes,Full English/Irish,single bed,double bed,Superior Queen Room with Sofa,"₹ 20,038"
Lords Hotel,yes,"20-22 Leinster Square, Westminster Borough, London, W2 4PR, United Kingdom","3,851 reviews",6.7,5 out of 5,Pleasant,yes,yes,no,NA,yes,no,Continental,single bed,double bed,Superior Twin Room,"₹ 10,299"
The Bedford Balham - Live Music Venue,yes,"77 Bedford Hill, Wandsworth, London, SW12 9HD, United Kingdom",894 reviews,8.3,4 out of 5,Very good,no,yes,no,Bar,no,no,NA,NA,double bed,Deluxe Double Room,"₹ 9,053"
Aloft London Excel,yes,"One Eastern Gateway, Royal Victoria Dock, Newham, London, E16 1FR, United Kingdom","3,908 reviews",8.3,5 out of 5,Very good,yes,yes,yes,Bar,no,yes,"Continental, Full English/Irish",single bed,double bed,"Aloft Room, Guest room, 1 King","₹ 10,884"
GuestReady - Modern En-Suite Flat - near Islington High Street,no,"Islington Green, London, N1 8UD, United Kingdom",NA,NA,4 out of 5,NA,no,no,no,NA,no,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 8,788"
"The Pond House, Ensuite Rooms - East London Short Let's",yes,"182 Lower Clapton Road, Hackney, London, E5 0QA, United Kingdom",38 reviews,9.8,4 out of 5,Exceptional,no,yes,no,NA,yes,no,NA,single bed,double bed,Double Room with Shared Bathroom,"₹ 14,139"
Hilton London Canary Wharf,yes,"South Quay, Marsh Wall, Tower Hamlets, London, E14 9SH, United Kingdom","3,694 reviews",8.6,3 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Buffet",single bed,double bed,Double Guest Room,"₹ 21,496"
Apartment near Queens Club tennis Kensington area,yes,"Saint Andrews Road, Hammersmith and Fulham, London, United Kingdom",NA,NA,3 out of 5,NA,yes,yes,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 14,647"
"Radisson Blu Edwardian Mercer Street Hotel, London",yes,"20 Mercer Street, Covent Garden, Camden, London, WC2H 9HD, United Kingdom","3,597 reviews",8.8,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,Superior Double or Twin Room,"₹ 30,668"
Millennium Gloucester Hotel London,yes,"4-18 Harrington Gardens, Kensington and Chelsea, London, SW7 4LH, United Kingdom","11,237 reviews",7.3,4 out of 5,Good,yes,yes,yes,Bar,yes,yes,"Continental, Full English/Irish, Gluten-free, Asian, American",single bed,double bed,Deluxe Double Room,"₹ 11,694"
Smart Hyde Park View Hostel,yes,"16 Leinster Terrace, Westminster Borough, London, W2 3EU, United Kingdom","2,694 reviews",7.3,4 out of 5,Good,no,yes,no,Bar,yes,yes,Continental,single bed,double bed,Superior Double Room,"₹ 10,528"
Queen Victoria Apartments,yes,"25 St.George's Square, Westminster Borough, London, SW1V 2HX, United Kingdom",312 reviews,8.0,5 out of 5,Very good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Apartment with Garden View,"₹ 15,487"
Amazing flat 2 in Battersea,yes,"43 Halston Close, Wandsworth, London, SW11 6RH, United Kingdom",8 reviews,5.3,4 out of 5,Passable,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 10,070"
Good priced Double Rooms in Sherperds bush,yes,"11 Sawley Road, Hammersmith and Fulham, London, W12 0LG, United Kingdom",96 reviews,6.8,4 out of 5,Pleasant,no,no,no,NA,yes,no,NA,NA,double bed,Double Room with Shared Bathroom,"₹ 6,225"
Umbrella Properties London Excel,yes,"57 DESFORD ROAD canning town, Newham, London, E16 4NJ, United Kingdom",371 reviews,7.3,4 out of 5,Good,no,yes,no,NA,yes,no,NA,NA,double bed,Double Room,"₹ 4,577"
Common View,yes,"11 Leathwaite Road, Wandsworth, London, SW11 1XG, United Kingdom",1 review,9.0,3 out of 5,Superb,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 8,697"
Mama Shelter London - Shoreditch,yes,"437 Hackney Road, Tower Hamlets, London, E2 8PP, United Kingdom","2,506 reviews",8.5,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Full English/Irish, Vegetarian, Vegan, Gluten-free",single bed,double bed,Medium Mama Double Room,"₹ 14,139"
