Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Alamin Hotel,yes,"19 Jalan Tun Perak, 50050 Kuala Lumpur, Malaysia",70 reviews,7.1,4 out of 5,Good,yes,yes,no,NA,no,yes,NA,single bed,double bed,Standard Double Room with Fan,₹ 924
Millerz Square by A Plus Stay,yes,"1 Jalan Klang Lama, 58000 Kuala Lumpur, Malaysia",10 reviews,8.9,3 out of 5,Fabulous,yes,yes,no,NA,no,no,NA,single bed,double bed,One-Bedroom Apartment,"₹ 3,583"
KLCC Suites at Platinum,yes,"1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Malaysia",300 reviews,8.4,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Superior King Suite,"₹ 5,146"
Neu suite KL City center,yes,"Jalan Nipah, 55000 Kuala Lumpur, Malaysia",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 1,417"
BBS Suites At Times Square KL,yes,"No. 1 Jalan Imbi A-19-11, Berjaya Times Square,, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",90 reviews,7.8,4 out of 5,Good,yes,yes,no,NA,no,no,NA,single bed,double bed,Deluxe King Studio,"₹ 3,890"
Homestay Serviced Suites at Platinum KLCC,yes,"1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Malaysia",67 reviews,8.5,5 out of 5,Very good,yes,yes,no,Bar,no,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 5,146"
The Axon Bukit Bintang By SKYSCRAPER,yes,"Jalan Walter Granier A-19-11, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",13 reviews,10,4 out of 5,Exceptional,yes,yes,no,NA,no,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 9,538"
Hilton Garden Inn Kuala Lumpur - North,yes,"449 Jalan Tuanku Abdul Rahman, Chow Kit, 50100 Kuala Lumpur, Malaysia",964 reviews,7.8,4 out of 5,Good,yes,yes,no,NA,no,yes,Continental,single bed,double bed,Queen Room,"₹ 3,008"
Kuala Lumpur Suite At times Square,yes,"Berjaya Times Square Kuala Lumpur A3401, Bukit Bintang, 55200 Kuala Lumpur, Malaysia",24 reviews,8.6,3 out of 5,Fabulous,yes,yes,no,Bar,no,yes,NA,single bed,double bed,Deluxe Studio,"₹ 4,500"
Residen Apartment Berjaya Times Square,yes,"No,1 jalan Imbi, Berjaya Times square East Tower, A-31-20, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",18 reviews,9.1,4 out of 5,Superb,yes,no,no,NA,yes,yes,NA,single bed,double bed,One-Bedroom Suite,"₹ 3,855"
