Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Hotel Green Chilly,yes,"House No-16, Block C-1, Phase 2 , Landmark Nr. Pink Gulabi Market , Ashok Vihar New Delhi-110052, 110052 New Delhi, India",21 reviews,7.0,3 out of 5,Good,yes,no,no,NA,yes,yes,Continental,NA,double bed,Deluxe Double Room,"₹ 1,782"
FabHotel Fortune City,yes,"., Kalkaji Tehsil, South East Delhi, Delhi, Delhi, 110044 New Delhi, India",9 reviews,9.3,3 out of 5,Superb,yes,yes,no,NA,no,yes,Continental,NA,double bed,Deluxe Room,"₹ 1,409"
HOTEL SPAARK RESIDENCY,no,"Sector 5 Road B9 305 SECTOR 5 ROHINI OPP RAJIV GANDHI HOSPITAL, Rohini, 110085 New Delhi, India",5 reviews,5.2,2 out of 5,Passable,yes,no,no,NA,no,no,NA,single bed,double bed,Double Room,"₹ 1,800"
Hotel Tashkent Palace - Paharganj - Budget Friendly,yes,"2710, Chuna Mandi, Paharganj, Paharganj, 110055 New Delhi, India",919 reviews,7.4,4 out of 5,Good,yes,no,no,NA,no,yes,"Continental, American",single bed,double bed,Budget Double Room,"₹ 1,404"
Hotel Pooja Palace,yes,"15A/11 Wea, Opp Puja Park, Near Karol Bagh Metro Station, Karol bagh, 110005 New Delhi, India",65 reviews,6.6,3 out of 5,Pleasant,no,yes,no,NA,yes,yes,"Continental, Vegetarian, American",single bed,double bed,Deluxe Double Room,"₹ 2,450"
Hotel Krone Plaza Near Delhi Airport,no,"Plot no 5 Basement KH.no 405/2 Block A Mahipalpur New Delhi 110037, 110037 New Delhi, India",46 reviews,7.0,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Italian, Full English/Irish, Vegetarian, Vegan, Gluten-free, Kosher, Asian, American, Buffet, Breakfast to go",single bed,double bed,Double Room,"₹ 1,044"
Airport hotel Golden Bliss,yes,"Road Number 2 Block A 395, Mahipalpur, 110037 New Delhi, India",240 reviews,6.6,4 out of 5,Pleasant,yes,yes,no,NA,no,no,"Vegetarian, Asian",NA,double bed,Budget Double Room,"₹ 1,500"
Avanti Tenantry,yes,"A 2/20 Safdarjung enclave, Safdarjung Enclave, 110029 New Delhi, India",107 reviews,7.4,2 out of 5,Good,yes,yes,no,NA,yes,no,"Full English/Irish, Asian",NA,double bed,Apartment with Garden View,"₹ 5,400"
Peacefulhuts Apartments,yes,"Gali Number 9 Peacefulhuts Apartments, 110045 New Delhi, India",18 reviews,8.1,3 out of 5,Very good,no,no,no,Bar,yes,no,Vegetarian,NA,double bed,Two-Bedroom Apartment,"₹ 2,520"
Wood Castle,yes,"8A/7G, W.E.A. Channa Market Karol Bagh, Karol bagh, 110005 New Delhi, India",57 reviews,8.6,3 out of 5,Fabulous,no,yes,no,NA,yes,no,"Continental, Vegetarian, Asian, American",single bed,double bed,Deluxe Double or Twin Room,"₹ 3,300"
