Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Courtyard by Marriott Toronto Airport,yes,"231 Carlingview Drive, Etobicoke, M9W 5E8 Toronto, Canada",731 reviews,8.2,5 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, American",NA,double bed,King Room with Sofa Bed,"₹ 13,048"
Beautiful Unit in Heart of Downtown Toronto,yes,"65 Bremner Boulevard, M5J 0A7 Toronto, Canada",8 reviews,8.9,5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 13,997"
Stay Inn Hotel Toronto,yes,"560 Evans Avenue, Etobicoke, M8W2W1 Toronto, Canada","1,906 reviews",8.6,4 out of 5,Fabulous,yes,yes,no,NA,yes,no,NA,NA,double bed,Business King Room - Fully Renovated 2021,"₹ 17,755"
Pan Pacific Toronto,yes,"900 York Mills Road, North York, M3B 3H2 Toronto, Canada","3,384 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free, American",NA,double bed,Deluxe Double Room,"₹ 18,825"
West Queen West Hotel,yes,"1521 Queen Street West, M6R 1A5 Toronto, Canada",279 reviews,4.3,4 out of 5,Disappointing,no,yes,no,NA,yes,no,NA,NA,double bed,Budget Double Room with Shared Bathroom - No Window,"₹ 7,706"
"Crowne Plaza Toronto Airport, an IHG Hotel",yes,"33 Carlson Court, Etobicoke, M9W 6H5 Toronto, Canada","1,289 reviews",6.9,4 out of 5,Pleasant,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Halal, Gluten-free, American",NA,double bed,Superior King Room,"₹ 11,094"
The Broadview Hotel,yes,"106 Broadview Avenue, M4M 2G1 Toronto, Canada",493 reviews,8.2,3.5 out of 5,Very good,no,yes,yes,Bar,yes,yes,NA,NA,double bed,King Room,"₹ 19,781"
The Willowdale Hotel Toronto North York,yes,"170 Willowdale Avenue, North York, M2N 4Y6 Toronto, Canada",198 reviews,8.0,3 out of 5,Very good,yes,yes,no,NA,yes,no,NA,NA,double bed,One-Bedroom Queen Suite with Sofa Bed,"₹ 15,794"
Nice rooms with private bath in Mid Town Toronto,yes,"37 Willowfield Mews, Scarborough, M1R 5S1 Toronto, Canada",398 reviews,8.6,4 out of 5,Fabulous,no,yes,no,NA,yes,no,NA,NA,double bed,Double Room with Private Bathroom,"₹ 10,049"
Filmores Hotel,yes,"212 Dundas Street East, M5A 1Z6 Toronto, Canada",384 reviews,6.0,4 out of 5,Pleasant,yes,yes,no,Bar,yes,no,NA,single bed,double bed,Queen Room,"₹ 12,022"
The Yorkville Royal Sonesta Hotel Toronto,yes,"220 Bloor Street West, M5S 1T8 Toronto, Canada","1,864 reviews",8.6,3 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Vegetarian, Gluten-free, American",NA,double bed,Deluxe Room with Two Queen Beds,"₹ 23,499"
Courtyard by Marriott Toronto Downtown,yes,"475 Yonge Street, M4Y 1X7 Toronto, Canada","1,782 reviews",7.9,3 out of 5,Good,no,yes,no,NA,yes,yes,"Continental, American",NA,double bed,King Room with City View,"₹ 21,516"
Delta Hotels by Marriott Toronto Airport & Conference Centre,yes,"655 Dixon Road, Etobicoke, M9W 1J3 Toronto, Canada","1,632 reviews",7.9,4 out of 5,Good,no,yes,yes,Bar,yes,yes,"Continental, Vegetarian, American",NA,double bed,Queen Room with Sofa Bed,"₹ 16,584"
Newly Renovated Detached Home Near Finch Subway Station,yes,"920 Willowdale Avenue, North York, M2M 3C1 Toronto, Canada",48 reviews,8.0,4 out of 5,Very good,no,no,no,NA,yes,no,NA,NA,double bed,Standard Queen Room,"₹ 12,068"
Elegant Downtown Home,yes,"379 Ontario St, M5A 2V8 Toronto, Canada",60 reviews,9.2,4 out of 5,Superb,no,yes,no,NA,yes,no,NA,NA,double bed,Deluxe King Room,"₹ 30,763"
GLOBALSTAY Modern Apartments in North York Skyscraper,yes,"2 Anndale Drive, North York, M2N 0G5 Toronto, Canada",81 reviews,6.9,4 out of 5,Pleasant,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Superior Apartment,"₹ 22,638"
Fairmont Royal York Gold Experience,no,"100 Front Street West Fairmont Gold Floor, M5J 1E3 Toronto, Canada",119 reviews,9.1,4 out of 5,Superb,no,yes,yes,Bar,yes,yes,"Continental, Vegetarian, American",NA,double bed,Fairmont Gold King Room,"₹ 44,942"
GLOBALSTAY Modern Downtown Apartment,yes,"300 Front Street West, M5V 0E9 Toronto, Canada",227 reviews,7.4,4 out of 5,Good,no,yes,no,NA,yes,yes,NA,NA,double bed,Deluxe Apartment,"₹ 22,638"
The Westlake,yes,"2847 Lake Shore Boulevard West, Etobicoke, M8V 1H8 Toronto, Canada",7 reviews,6.4,4 out of 5,Pleasant,yes,yes,no,Bar,yes,no,NA,single bed,double bed,Single Room,"₹ 25,001"
GLOBALSTAY Elegant Downtown Apartments,yes,"21 Iceboat Terrace , M5V 4A9 Toronto, Canada",193 reviews,7.3,4 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,One-Bedroom Apartment,"₹ 25,467"
Beautiful Condos In the Heart of Downtown by GLOBALSTAY,yes,"560 Front St W, Toronto, ON M5V 1C1, M5V 1C1 Toronto, Canada",12 reviews,7.1,3 out of 5,Good,no,yes,no,Bar,yes,yes,NA,NA,double bed,Apartment with Balcony,"₹ 22,638"
Hotel X Toronto by Library Hotel Collection,yes,"111 Princes' Boulevard, M6K 3C3 Toronto, Canada",483 reviews,8.8,5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan, American",NA,double bed,Luxury Room - 1 King Bed,"₹ 52,821"
Bisha Hotel Toronto,yes,"80 Blue Jays Way, M5V 2G3 Toronto, Canada",363 reviews,8.6,4 out of 5,Fabulous,no,yes,yes,Bar,yes,yes,NA,NA,double bed,King Room (The Nina),"₹ 36,928"
Downtown Luxury Victorian Retreat,yes,"235 Seaton Street, M5A 2T5 Toronto, Canada",138 reviews,9.3,4 out of 5,Superb,no,yes,no,NA,yes,no,NA,NA,double bed,Modern Luxury Room,"₹ 36,604"
Le Germain Hotel Maple Leaf Square,yes,"75 Bremner Boulevard, M5J 0A1 Toronto, Canada",555 reviews,9.0,1 out of 5,Superb,no,yes,no,Bar,yes,yes,NA,NA,double bed,Classic King Room,"₹ 30,763"
Windsor Arms Hotel,yes,"18 Saint Thomas Street, M5S 3E7 Toronto, Canada",163 reviews,7.3,4 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Junior Suite,"₹ 35,602"
The Hazelton Hotel,yes,"118 Yorkville Avenue, M5R 1C2 Toronto, Canada",242 reviews,9.4,4 out of 5,Superb,no,yes,no,Bar,yes,yes,NA,NA,double bed,King Room,"₹ 55,423"
Homewood Suites by Hilton Toronto Airport Corporate Centre,yes,"5515 Eglinton Avenue West, M9C 5K5 Toronto, Canada",987 reviews,8.3,4 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,NA,double bed,King Studio - Non-Smoking,"₹ 17,501"
Toronto Marriott City Centre Hotel,yes,"1 Blue Jays Way, M5V1J4 Toronto, Canada",902 reviews,8.5,4 out of 5,Very good,no,yes,yes,Bar,yes,yes,"Continental, American",NA,double bed,"Guest room, 1 Queen","₹ 23,797"
The SoHo Hotel,yes,"318 Wellington Street West, M5V 3T3 Toronto, Canada",638 reviews,8.8,4 out of 5,Fabulous,no,yes,yes,NA,yes,yes,NA,NA,double bed,Luxury King Room,"₹ 34,847"
Gladstone House,yes,"1214 Queen Street West, M6J 1J6 Toronto, Canada",554 reviews,8.6,3 out of 5,Fabulous,no,yes,yes,Bar,yes,yes,NA,NA,double bed,Studio Queen,"₹ 25,215"
Novotel Toronto North York,yes,"3 Park Home Avenue, North York, M2N 6L3 Toronto, Canada","1,468 reviews",7.5,4 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Superior King Room,"₹ 20,283"
Town Inn Suites Hotel,yes,"620 Church Street, M4Y 2G2 Toronto, Canada","3,977 reviews",7.7,4 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,NA,double bed,Deluxe Suite,"₹ 24,105"
Luxury Downtown Toronto 2 Bedroom Suite with City and Lake Views,yes,"65 Bremner Boulevard, M5J 0A7 Toronto, Canada",1 review,10,3 out of 5,Exceptional,no,no,no,Bar,yes,yes,NA,NA,double bed,Two-Bedroom Apartment,"₹ 22,749"
