Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Howard Johnson Bur Dubai,yes,"Khalid Bin Waleed Road, Bur Dubai, Dubai, United Arab Emirates",794 reviews,7.5,4 out of 5,Good,yes,yes,yes,Bar,no,yes,Continental,single bed,double bed,Queen Room - Non-Smoking,"₹ 5,588"
Ibis Al Rigga,yes,"Al Rigga Road, Dubai, United Arab Emirates","6,768 reviews",7.7,3 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Asian, American",single bed,double bed,Standard Double Room,"₹ 5,255"
Novotel Jumeirah Village Triangle,yes,"B1 Joory Street District 3 PO Box 450763 Jumeirah Village Triangle, 450763 Dubai, United Arab Emirates","6,475 reviews",7.5,2 out of 5,Good,yes,yes,yes,NA,no,yes,"Continental, Vegetarian, Vegan, Halal, Gluten-free, Asian, American",single bed,double bed,Superior King Room with City View,"₹ 7,903"
RAF Hotel Apartments,yes,"Hor Al Anz Street, Dubai, United Arab Emirates",541 reviews,7.5,3 out of 5,Good,yes,yes,no,NA,no,yes,"Continental, Italian, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Asian, American",single bed,double bed,Deluxe Studio,"₹ 6,907"
Radisson Dubai Damac Hills,yes,"Al Hebiah, Artesia cluster at - DAMAC Hills – Dubai, Dubai, United Arab Emirates","2,449 reviews",8.4,4 out of 5,Very good,yes,yes,no,Bar,no,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Asian, American",single bed,double bed,Standard Room,"₹ 7,011"
"Holiday Inn Express Dubai Internet City, an IHG Hotel",yes,"Knowledge Village, Dubai Internet City, Dubai, United Arab Emirates","3,679 reviews",8.2,3 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Halal, Asian, American",single bed,double bed,Twin Room - Non-Smoking,"₹ 6,564"
Premier Inn Dubai International Airport,yes,"52B Street, Opposite Terminal 3, Garhoud, Dubai, United Arab Emirates","15,702 reviews",8.3,4 out of 5,Very good,yes,yes,yes,Bar,no,yes,"Continental, Full English/Irish, Halal",single bed,double bed,Family Room - Non Smoking - Free DXB Airport Shuttle Every 30 mins to T3 & T1,"₹ 5,893"
Flora Inn Hotel Dubai Airport,yes,"Airport Road Po Box 125275, Garhoud, Dubai, United Arab Emirates","13,937 reviews",8.1,4 out of 5,Very good,yes,yes,no,NA,no,yes,"Continental, Vegetarian, Halal, Asian",single bed,double bed,Superior Room - Complimentary Transfer to the Beach,"₹ 7,478"
Ibis Mall Of The Emirates,yes,"Sheikh Zayed Road, Al Barsha, near Mall of Emirates, Al Barsha, Dubai, United Arab Emirates","5,371 reviews",7.5,3 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Halal",single bed,double bed,Standard Double Room,"₹ 6,328"
MRA Grand Hotel,yes,"12 Al Raffa Street MRA Grand Hotel, Bur Dubai, Dubai, United Arab Emirates",640 reviews,6.2,5 out of 5,Pleasant,yes,yes,no,NA,no,yes,Continental,NA,double bed,Deluxe Double or Twin Room,"₹ 2,032"
Novotel Suites Dubai Mall of the Emirates,yes,"Sheikh Zayed Road, near Mall of Emirates, Al Barsha, Dubai, United Arab Emirates","3,243 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Suite Room,"₹ 8,128"
City Seasons Towers Hotel Bur Dubai,yes,"Khalifa Bin Zayed Road, Mankhool, Dubai  Next to Burjuman Mall , P.O.Box- 5847, Bur Dubai, Dubai, United Arab Emirates","7,439 reviews",7.4,4 out of 5,Good,no,yes,yes,Bar,no,yes,Continental,single bed,double bed,Premium Twin Room,"₹ 6,994"
"Holiday Inn Express Dubai Safa Park, an IHG Hotel",no,"Sheikh Zayed Road, Al Wasl, Dubai, United Arab Emirates","2,864 reviews",7.9,4 out of 5,Good,yes,yes,yes,Bar,no,yes,"Continental, Full English/Irish, Vegetarian, Halal, Asian, American",single bed,double bed,King Room - Smoking (Free shuttle bus to La Mer Beach and Dubai Mall),"₹ 8,557"
WHITE SAND HOSTELS near ADCB METRO & Burjuman METRO,yes,"32 19 B Street 201 - MK1 Asma abullah building 32 - 36 19 B St - Al Mankhool, Bur Dubai, Dubai, United Arab Emirates",195 reviews,6.2,4 out of 5,Pleasant,no,yes,no,Bar,yes,yes,NA,single bed,NA,4-Bed Mixed Dormitory Room,"₹ 2,010"
STUDIO APARTMENT Faith Holiday Homes,yes,"AL ZAROONI TOWER DUBAI MARINA, Dubai Marina, Dubai, United Arab Emirates",NA,NA,3 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 7,905"
Avani Ibn Battuta Dubai Hotel,yes,"E11 Sheikh Zayed Road Ibn Battuta Mall, Dubai, United Arab Emirates, Discovery Gardens, Dubai, United Arab Emirates","3,401 reviews",8.3,4 out of 5,Very good,yes,yes,yes,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Asian, American",single bed,double bed,AVANI Superior Room,"₹ 6,970"
Beach Walk Hotel Jumeirah,yes,"Jumeirah 3 beside offshore sailing club, Umm Suqeim, Dubai, United Arab Emirates","1,327 reviews",8.5,4 out of 5,Very good,yes,yes,no,NA,no,yes,Continental,single bed,double bed,"Staycation Package – Superior Double Room (Includes complimentary early check-in 9am, late check-out 6pm, 20% spa discount, towels, umbrella, mat)","₹ 10,085"
MK Residence by Be Our Guest,yes,"MK Residence, Jumeirah Village Circle, Dubai, United Arab Emirates",216 reviews,7.0,4 out of 5,Good,yes,yes,no,NA,no,yes,NA,NA,double bed,Deluxe King Studio,"₹ 5,396"
OSTAY - Address Dubai Mall -The residence,yes,"Sheikh Mohammed bin Rashid Boulevard Sheikh Mohammed Bin Rashed Boulevard Downtown Dubai, Downtown Dubai, Dubai, United Arab Emirates",118 reviews,9.0,4 out of 5,Superb,yes,yes,yes,Bar,yes,yes,"Continental, Italian, Vegan, Halal, Gluten-free, Asian, American",NA,double bed,Deluxe Studio,"₹ 28,901"
Park Inn by Radisson Dubai Motor City,yes,"Turin Boulevard Road, First Avenue Mall & Hotel, Dubai Motor City, Dubai, United Arab Emirates","1,397 reviews",8.1,3 out of 5,Very good,yes,no,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Halal, Gluten-free, Asian, American",single bed,double bed,Standard Double or Twin Room,"₹ 8,288"
La Quinta by Wyndham Dubai Jumeirah,yes,"Near Mina Rashid Port - Sheikh Rashid Rd - Al Raffa - Dubai - United Arab Emirates, Bur Dubai, Dubai, United Arab Emirates",829 reviews,7.9,5 out of 5,Good,yes,yes,yes,Bar,yes,yes,"Vegetarian, Vegan, American",single bed,double bed,"Deluxe Room, 2 Twin Beds - Complimentary Transfer to La Mer Beach, Dubai Mall / Burj Khalifa Metro Station","₹ 8,128"
Hilton Garden Inn Dubai Mall Of The Emirates,yes,"6A Street,P.O. Box 393971. Dubai Al Barsha, Al Barsha, Dubai, United Arab Emirates","2,293 reviews",8.3,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan, Halal, Gluten-free, Kosher, American",single bed,double bed,Twin Room,"₹ 7,624"
