Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Art Series - The Olsen,yes,"637 - 641 Chapel Street, South Yarra, South Yarra, 3141 Melbourne, Australia","1,140 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian",single bed,double bed,Studio Suite,"₹ 10,662"
Next to Mel Uni 2BR Best choice for students,yes,"570 Swanston Street 313, Carlton, 3053 Melbourne, Australia",NA,NA,5 out of 5,NA,no,no,no,NA,yes,no,NA,single bed,NA,Two-Bedroom Apartment,"₹ 7,447"
lovely 1 Bedroom apt + Free parking,no,"862 Glenferrie Road, 3122 Melbourne, Australia",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 22,224"
Flinders Backpackers,yes,"35 Elizabeth Street, 3000 Melbourne, Australia","1,215 reviews",7.9,3 out of 5,Good,no,yes,no,Bar,no,yes,NA,single bed,double bed,Budget Double Room,"₹ 4,822"
Europa Melbourne,yes,"310-314 Queen Street, 3000 Melbourne, Australia","2,327 reviews",7.8,5 out of 5,Good,no,yes,no,NA,yes,no,Continental,single bed,NA,Private 2 Bed Dorm with Shared Bathroom (2 persons),"₹ 5,344"
QT Melbourne,yes,"133 Russell Street, 3000 Melbourne, Australia","2,506 reviews",8.9,4 out of 5,Fabulous,no,yes,no,Bar,yes,yes,"Full English/Irish, Vegetarian, Vegan, Gluten-free, American",single bed,double bed,QT King Room,"₹ 16,555"
Punthill Apartment Hotel - Little Bourke,yes,"11-17 Cohen Place, 3000 Melbourne, Australia","1,176 reviews",7.2,4 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 6,751"
Nightcap at Excelsior Hotel,yes,"82 Mahoneys Rd, 3074 Melbourne, Australia",407 reviews,7.8,4.5 out of 5,Good,yes,no,no,Bar,yes,no,NA,single bed,double bed,Queen Studio with Free Welcome Drink for Two Guests,"₹ 7,715"
Melbourne Marriott Hotel Docklands,yes,"15 Waterfront Way, Docklands, Docklands, 3008 Melbourne, Australia","1,254 reviews",8.6,5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, American",NA,double bed,Deluxe Guest room with 1 King,"₹ 12,858"
Nomads St Kilda - Base,yes,"17 Carlisle Street, 3182 Melbourne, Australia",620 reviews,7.4,3.5 out of 5,Good,no,yes,no,Bar,yes,yes,NA,single bed,double bed,Double Room with Private Bathroom,"₹ 7,016"
Clarendon Hotel,yes,"209-215 Clarendon Street., South Melbourne, 3205 Melbourne, Australia",465 reviews,8.7,4.5 out of 5,Fabulous,no,yes,no,Bar,yes,no,NA,single bed,double bed,Deluxe Queen Room,"₹ 9,001"
Elizabethan Lodge,yes,"604-610 Middleborough Rd, 3130 Melbourne, Australia",436 reviews,8.1,4 out of 5,Very good,no,yes,no,NA,yes,no,"Continental, Full English/Irish",single bed,double bed,Twin Room,"₹ 8,304"
Pullman Melbourne On the Park,yes,"192 Wellington Parade, East Melbourne, 3002 Melbourne, Australia","1,652 reviews",8.8,4.5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Superior King Room,"₹ 14,176"
Essendon Motel,yes,"93 Bulla Road, 3041 Melbourne, Australia",817 reviews,4.6,4.5 out of 5,Disappointing,yes,yes,no,NA,yes,no,NA,single bed,double bed,Standard Queen Room,"₹ 6,161"
Novotel Melbourne Preston,yes,"215 Bell Street, Preston, 3072 Melbourne, Australia",826 reviews,8.1,4.5 out of 5,Very good,yes,no,no,Bar,yes,yes,"Full English/Irish, Vegetarian",single bed,double bed,Standard Double Room,"₹ 9,590"
Quality Apartments Melbourne Central,yes,"318 Little Bourke Street, 3000 Melbourne, Australia","1,439 reviews",7.7,3 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Breakfast to go",single bed,double bed,Studio Loft Apartment,"₹ 8,213"
Punthill Essendon North,yes,"261 Keilor Road, 3040 Melbourne, Australia",80 reviews,8.7,4 out of 5,Fabulous,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 10,447"
Punthill Essendon North,yes,"261 Keilor Road, 3040 Melbourne, Australia",80 reviews,8.7,4 out of 5,Fabulous,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 10,447"
Punthill South Yarra Grand,yes,"5-7 Yarra Street, South Yarra, 3141 Melbourne, Australia",509 reviews,7.2,3.5 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 10,340"
Birches Serviced Apartments,yes,"160 Simpson Street, East Melbourne, 3002 Melbourne, Australia",448 reviews,7.8,3 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Standard Twin Room,"₹ 9,376"
Vintage peaceful 2Bdr home in South Mel (TF1SM23),yes,"1 Napier Place, South Melbourne, 3205 Melbourne, Australia",NA,NA,4.5 out of 5,NA,no,no,no,NA,no,no,NA,NA,double bed,Two-Bedroom House,"₹ 9,596"
lovely 1 Bedroom apt + Free parking,no,"862 Glenferrie Road, 3122 Melbourne, Australia",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 22,224"
