Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
plat hostel keikyu haneda home,yes,"144-0043 Tokyo-to, Ota-ku Haneda 5-23-5, Japan","1,399 reviews",8.4,1 out of 5,Very good,yes,no,no,NA,yes,yes,NA,NA,double bed,Standard Twin Room with Shared Bathroom,"₹ 6,007"
Hotel Monterey Akasaka,yes,"107-0052 Tokyo-to, Minato-ku, Akasaka 4-9-24, Japan","1,170 reviews",8.3,4 out of 5,Very good,no,yes,no,NA,yes,yes,Buffet,single bed,double bed,Double Room - Non-Smoking,"₹ 11,333"
APA Hotel TKP Nippori Ekimae,yes,"116-0014 Tokyo-to, Higashi-Nippori 5-52-9, Japan","1,151 reviews",8.1,3 out of 5,Very good,no,yes,no,NA,yes,yes,American,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,"₹ 6,789"
Tokyo Bay Shiomi Prince Hotel,yes,"135-0052 Tokyo-to, Koto-ku Shiomi 2-8-16, Japan","4,007 reviews",9.1,4 out of 5,Superb,yes,yes,yes,Bar,yes,yes,NA,single bed,double bed,Superior Twin Room,"₹ 17,158"
Red Roof Inn Kamata / Haneda Tokyo,yes,"144-0051 Tokyo-to, Ota-ku Nishikamata 7-24-7, Japan","1,283 reviews",7.8,3 out of 5,Good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Double Room with Bathroom,"₹ 4,555"
E Hotel Higashi Shinjuku,yes,"160-0021 Tokyo-to, Shinjuku-ku, Kabukicho 2-3-15, Japan","1,534 reviews",7.3,3 out of 5,Good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room - Non-Smoking,"₹ 8,765"
Akabane Holic Hotel,yes,"115-0045 Tokyo-to, Kita-ku, Akanabe 1-4-4, Japan","1,268 reviews",8.5,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Asian, American",single bed,double bed,Double Room,"₹ 7,738"
Grand Prince Hotel Takanawa,yes,"108-8612 Tokyo-to, Minato-ku, Takanawa 3-13-1, Japan","1,239 reviews",8.3,4 out of 5,Very good,no,yes,yes,Bar,yes,yes,NA,single bed,double bed,Superior Double Room - Non-Smoking,"₹ 12,108"
KOKO HOTEL Ginza-1chome,yes,"104-0061 Tokyo-to, Chuo-ku Ginza1-9-5, Japan","4,336 reviews",8.2,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Semi Double Room - Non-Smoking,"₹ 12,823"
Shinagawa Tobu Hotel,yes,"108-0074 Tokyo-to, Minato-ku Takanawa 4-7-6, Japan","2,875 reviews",7.8,3 out of 5,Good,yes,yes,no,NA,yes,yes,American,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,"₹ 7,978"
Hotel Sting,yes,"111-0032 Tokyo-to, Taito-ku Asakusa 2-25-5, Japan",122 reviews,7.3,1 out of 5,Good,no,no,no,NA,yes,yes,NA,NA,double bed,Standard King Room,"₹ 4,578"
Quintessa Hotel Tokyo Ginza,yes,"104-0061 Tokyo-to, Chuo-ku Ginza 4-11-4, Japan","1,988 reviews",8.2,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 16,414"
KOKO HOTEL Premier Nihonbashi Hamacho,yes,"103-0007 Tokyo-to, Chuo-ku Nihonbashihamacho 2-30-4, Japan",863 reviews,8.6,4 out of 5,Fabulous,no,yes,no,NA,yes,yes,NA,single bed,double bed,Moderate Double Room - Non-Smoking,"₹ 13,803"
APA Hotel Asakusa Kuramae Ekimae,no,"111-0051 Tokyo-to, Taito-ku Kuramae 2-4-4, Japan",468 reviews,8.3,3 out of 5,Very good,no,yes,no,NA,yes,yes,American,single bed,double bed,Standard Double Room,"₹ 5,778"
Tokyo Prince Hotel,yes,"105-8560 Tokyo-to, Minato-ku, Shibakoen 3-3-1, Japan",919 reviews,8.3,4 out of 5,Very good,no,yes,yes,Bar,yes,yes,American,single bed,double bed,Superior Double Room - Non-Smoking,"₹ 16,685"
【駅から徒歩1分】徒歩で新大久保駅2分・大久保駅1分圏内/新宿まで電車で5分,yes,"169-0073 Tokyo-to, 百人町１丁目１６−２２−２０２, Japan",1 review,9.0,3 out of 5,Superb,no,no,no,NA,yes,no,NA,single bed,NA,Double Room,"₹ 4,598"
APA Hotel Ueno Hirokoji,yes,"101-0021 Tokyo-to, Chiyoda-ku Sotokanda 5-3-3, Japan",745 reviews,8.2,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Room,"₹ 5,628"
APA Hotel Pride Kokkaigijidomae - National Diet Bldg.,yes,"100-0014 Tokyo-to, Chiyoda-ku Nagata-cho 2-10-2, Japan","1,349 reviews",8.4,3 out of 5,Very good,no,yes,no,NA,yes,yes,American,single bed,double bed,Standard Double Room (2 Adults) - Non-Smoking,"₹ 8,598"
APA Hotel Asakusa Kuramae Kita,yes,"111-0043 Tokyo-to, Taito-ku Komagata 2-4-10, Japan",482 reviews,8.5,3 out of 5,Very good,no,yes,no,NA,yes,yes,Buffet,single bed,double bed,Double Room - Electronic Cigarette,"₹ 5,778"
L stay & grow Minami Sunamachi,no,"136-0076 Tokyo-to, 7-10-14 Minamisuna, Japan",437 reviews,8.6,3 out of 5,Fabulous,no,yes,no,NA,no,no,NA,single bed,double bed,Double Room,"₹ 5,695"
hotel MONday Haneda Airport,yes,"144-0047 Tokyo-to, Ota-ku Haginaka 3-6-9, Japan","2,474 reviews",8.2,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double or Twin Room,"₹ 6,976"
Far East Village Hotel Tokyo Ariake,yes,"135-0063 Tokyo-to, Koto-ku Ariake 1-2-43, Japan","2,535 reviews",8.1,5 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Run of House,"₹ 6,043"
The Peninsula Tokyo,yes,"100-0006 Tokyo-to, Chiyoda-ku Yurakucho 1-8-1, Japan",482 reviews,9.1,3 out of 5,Superb,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, American",single bed,double bed,Premier King Room,"₹ 123,591"
Hotel Graphy Nezu,yes,"110-0008 Tokyo-to, Taito-ku Ikenohata 4-5-10, Japan","1,345 reviews",8.3,3 out of 5,Very good,no,yes,no,Bar,yes,yes,American,single bed,double bed,Small Double Room with Shared Bathroom,"₹ 8,039"
APA Hotel Ueno Inaricho Ekikita,yes,"110-0015 Tokyo-to, Taito-ku Higashiueno 5-10-8, Japan","1,393 reviews",8.2,4 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Room - Non-Smoking (2 Adults),"₹ 6,085"
Shinjuku Washington Hotel,yes,"160-8336 Tokyo-to, Shinjuku-ku, Nishishinjuku 3-2-9, Japan","3,899 reviews",7.1,3 out of 5,Good,no,yes,yes,NA,yes,yes,"Continental, Asian, American",single bed,double bed,Economy Double Room - Non-Smoking,"₹ 11,451"
Super Hotel Tokyo Otsuka,yes,"170-0004 Tokyo-to, Toshima-ku Kitaotsuka 2-17-13, Japan",542 reviews,8.5,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Continental, Asian, American, Buffet",NA,double bed,Double Room,"₹ 5,728"
APA Hotel Keikyu Kamata-Ekimae,yes,"144-0052 Tokyo-to, Ota-ku, Kamata 3-19-1, Japan",918 reviews,8.4,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Asian, American",single bed,double bed,Standard Double Room,"₹ 7,085"
Super Hotel JR Ueno Iriyaguchi,no,"110-0005 Tokyo-to, Taito-ku Ueno 7-9-14, Japan",228 reviews,7.7,3 out of 5,Good,no,yes,no,Bar,no,yes,Buffet,single bed,double bed,Double Room with Loft Bed,"₹ 6,439"
HOTEL MYSTAYS Hamamatsucho,yes,"105-0013 Tokyo-to, Minato-ku, Hamamatsucho 1-18-14 , Japan","1,045 reviews",8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Room - Smoking,"₹ 5,803"
Toyoko Inn Tokyo Akiba Asakusabashi-eki Higashi-guchi,yes,"111-0052 Tokyo-to, Taito-ku Yanagibashi 2-14-4, Japan",323 reviews,7.8,3 out of 5,Good,no,yes,no,NA,yes,no,Asian,single bed,double bed,Economy Double Room - Smoking,"₹ 5,862"
HOTEL MYSTAYS Asakusabashi,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-5-5 , Japan","1,498 reviews",8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Room - Non-Smoking,"₹ 8,542"
Ryogoku View Hotel,yes,"130-0036 Tokyo-to, Sumida-ku Ryogoku 2-19-1, Japan",269 reviews,7.8,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,NA,Double Decker Room - Non Smoking,"₹ 7,503"
APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,yes,"151-0071 Tokyo-to, Shibuya-ku Honmachi 3-14-1, Japan","1,235 reviews",8.2,1 out of 5,Very good,no,yes,no,NA,yes,yes,"Full English/Irish, American",single bed,double bed,Double Room with Small Double Bed - Non-Smoking,"₹ 10,607"
Theater Zzz,yes,"130-0011 Tokyo-to, Sumida-ku Ishiwara 1-18-7 Central Mansion 1F, Japan",243 reviews,7.8,3 out of 5,Good,no,yes,no,NA,yes,no,NA,NA,NA,Tent,"₹ 3,618"
Henn na Hotel Tokyo Asakusabashi,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-10-5, Japan","2,597 reviews",7.9,3 out of 5,Good,no,yes,no,NA,yes,yes,"Halal, Asian",single bed,double bed,Deluxe Twin Room,"₹ 8,933"
APA Hotel Nihombashi Bakuroyokoyama Ekimae,yes,"103-0003 Tokyo-to, Chuo-ku Nihonbashiyokoyamacho 5-6, Japan",731 reviews,8.3,4 out of 5,Very good,no,yes,no,NA,yes,yes,Breakfast to go,single bed,double bed,Standard Double Room,"₹ 7,085"
Tosei Hotel Cocone Tsukiji Ginza Premier,no,"104-0045 Tokyo-to, Chuo-ku Tsukiji 6-23-8, Japan",43 reviews,8.5,3 out of 5,Very good,no,yes,no,Bar,no,yes,NA,single bed,double bed,Moderate Double Room,"₹ 13,957"
Hotel Cerezo,yes,"110-0003 Tokyo-to, Taito-ku Negishi 2-6-1, Japan",238 reviews,7.3,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Economy Double Room - Smoking,"₹ 3,517"
APA Hotel Akihabara Ekikita,yes,"110-0016 Tokyo-to, Taito-ku Taito 1-29-2, Japan","1,860 reviews",8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Room - Non-Smoking,"₹ 7,085"
remm Akihabara,yes,"101-0025 Tokyo-to, Chiyoda-ku Kanda Sakumacho  1-6-5 , Japan","1,573 reviews",8.3,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Asian, American",single bed,double bed,Economy Double Room - Non-Smoking,"₹ 10,607"
The Kanzashi Tokyo Asakusa,yes,"111-0032 Tokyo-to, Taito-ku Asakusa 2-27-10, Japan","1,435 reviews",8.6,3 out of 5,Fabulous,no,yes,no,NA,no,yes,American,single bed,double bed,Double Room,"₹ 8,129"
APA Hotel TKP Tokyo Nishi-Kasai,yes,"134-0088 Tokyo-to, Edogawa-ku Nishi-Kasai 6-15‐24, Japan","1,174 reviews",7.8,3 out of 5,Good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Economy Double Room - Non-Smoking,"₹ 5,577"
